,Accuracy,Precision,Recall,F1,AUC-ROC
XGBoost,0.5969551005516908,0.30587125227937745,0.6393148377947172,0.41377678340934515,0.6537755441594512
LSTM,0.6003520171965824,0.3063600012933404,0.6298750221591917,0.4122223753000123,0.6520778552577402
Neural Network,0.5883666697891348,0.30245921898171035,0.650815458252083,0.4129872321277912,0.6515264502822853
Decision Tree,0.5838308739788297,0.3001139763499074,0.6534967204396384,0.4113282285172322,0.6493038005858037
Random Forest,0.5732457070171719,0.29594460150316687,0.6657507534125156,0.4097458522847382,0.6403482168858218
